L,J,nsteps,nth,nspin,n,file
6,0.0,1225,1225,1225,100,L6_J0.0.txt
6,0.1,1225,1225,1225,100,L6_J0.1.txt
6,0.2,1225,1225,1225,100,L6_J0.2.txt
6,0.3,1225,1225,1225,100,L6_J0.3.txt
6,0.4,1225,1225,1225,100,L6_J0.4.txt
6,0.5,1225,1225,1225,100,L6_J0.5.txt
6,0.6,1225,1225,1225,100,L6_J0.6.txt
6,0.7,1225,1225,1225,100,L6_J0.7.txt
6,0.8,1225,1225,1225,100,L6_J0.8.txt
6,0.9,1225,1225,1225,100,L6_J0.9.txt
6,1.0,1225,1225,1225,100,L6_J1.0.txt
6,1.1,1225,1225,1225,100,L6_J1.1.txt
6,1.2,1225,1225,1225,100,L6_J1.2.txt
6,1.3,1225,1225,1225,100,L6_J1.3.txt
6,1.4,1225,1225,1225,100,L6_J1.4.txt
8,0.0,2673,2673,2673,100,L8_J0.0.txt
8,0.1,2673,2673,2673,100,L8_J0.1.txt
8,0.2,2673,2673,2673,100,L8_J0.2.txt
8,0.3,2673,2673,2673,100,L8_J0.3.txt
8,0.4,2673,2673,2673,100,L8_J0.4.txt
8,0.5,2673,2673,2673,100,L8_J0.5.txt
8,0.6,2673,2673,2673,100,L8_J0.6.txt
8,0.7,2673,2673,2673,100,L8_J0.7.txt
8,0.8,2673,2673,2673,100,L8_J0.8.txt
8,0.9,2673,2673,2673,100,L8_J0.9.txt
8,1.0,2673,2673,2673,100,L8_J1.0.txt
8,1.1,2673,2673,2673,100,L8_J1.1.txt
8,1.2,2673,2673,2673,100,L8_J1.2.txt
8,1.3,2673,2673,2673,100,L8_J1.3.txt
8,1.4,2673,2673,2673,100,L8_J1.4.txt
10,0.0,4961,4961,4961,100,L10_J0.0.txt
10,0.1,4961,4961,4961,100,L10_J0.1.txt
10,0.2,4961,4961,4961,100,L10_J0.2.txt
10,0.3,4961,4961,4961,100,L10_J0.3.txt
10,0.4,4961,4961,4961,100,L10_J0.4.txt
10,0.5,4961,4961,4961,100,L10_J0.5.txt
10,0.6,4961,4961,4961,100,L10_J0.6.txt
10,0.7,4961,4961,4961,100,L10_J0.7.txt
10,0.8,4961,4961,4961,100,L10_J0.8.txt
10,0.9,4961,4961,4961,100,L10_J0.9.txt
10,1.0,4961,4961,4961,100,L10_J1.0.txt
10,1.1,4961,4961,4961,100,L10_J1.1.txt
10,1.2,4961,4961,4961,100,L10_J1.2.txt
10,1.3,4961,4961,4961,100,L10_J1.3.txt
10,1.4,4961,4961,4961,100,L10_J1.4.txt
12,0.0,8281,8281,8281,100,L12_J0.0.txt
12,0.1,8281,8281,8281,100,L12_J0.1.txt
12,0.2,8281,8281,8281,100,L12_J0.2.txt
12,0.3,8281,8281,8281,100,L12_J0.3.txt
12,0.4,8281,8281,8281,100,L12_J0.4.txt
12,0.5,8281,8281,8281,100,L12_J0.5.txt
12,0.6,8281,8281,8281,100,L12_J0.6.txt
12,0.7,8281,8281,8281,100,L12_J0.7.txt
12,0.8,8281,8281,8281,100,L12_J0.8.txt
12,0.9,8281,8281,8281,100,L12_J0.9.txt
12,1.0,8281,8281,8281,100,L12_J1.0.txt
12,1.1,8281,8281,8281,100,L12_J1.1.txt
12,1.2,8281,8281,8281,100,L12_J1.2.txt
12,1.3,8281,8281,8281,100,L12_J1.3.txt
12,1.4,8281,8281,8281,100,L12_J1.4.txt
14,0.0,12825,12825,12825,100,L14_J0.0.txt
14,0.1,12825,12825,12825,100,L14_J0.1.txt
14,0.2,12825,12825,12825,100,L14_J0.2.txt
14,0.3,12825,12825,12825,100,L14_J0.3.txt
14,0.4,12825,12825,12825,100,L14_J0.4.txt
14,0.5,12825,12825,12825,100,L14_J0.5.txt
14,0.6,12825,12825,12825,100,L14_J0.6.txt
14,0.7,12825,12825,12825,100,L14_J0.7.txt
14,0.8,12825,12825,12825,100,L14_J0.8.txt
14,0.9,12825,12825,12825,100,L14_J0.9.txt
14,1.0,12825,12825,12825,100,L14_J1.0.txt
14,1.1,12825,12825,12825,100,L14_J1.1.txt
14,1.2,12825,12825,12825,100,L14_J1.2.txt
14,1.3,12825,12825,12825,100,L14_J1.3.txt
14,1.4,12825,12825,12825,100,L14_J1.4.txt
16,0.0,18785,18785,18785,100,L16_J0.0.txt
16,0.1,18785,18785,18785,100,L16_J0.1.txt
16,0.2,18785,18785,18785,100,L16_J0.2.txt
16,0.3,18785,18785,18785,100,L16_J0.3.txt
16,0.4,18785,18785,18785,100,L16_J0.4.txt
16,0.5,18785,18785,18785,100,L16_J0.5.txt
16,0.6,18785,18785,18785,100,L16_J0.6.txt
16,0.7,18785,18785,18785,100,L16_J0.7.txt
16,0.8,18785,18785,18785,100,L16_J0.8.txt
16,0.9,18785,18785,18785,100,L16_J0.9.txt
16,1.0,18785,18785,18785,100,L16_J1.0.txt
16,1.1,18785,18785,18785,100,L16_J1.1.txt
16,1.2,18785,18785,18785,100,L16_J1.2.txt
16,1.3,18785,18785,18785,100,L16_J1.3.txt
16,1.4,18785,18785,18785,100,L16_J1.4.txt
